نام دامنه,پسوند (TLD),وضعیت,قیمت ثبت ۱ ساله در ایران‌سرور (تومان),قیمت تمدید سال‌های بعد در ایران‌سرور (تومان),نوع تعرفه تمدید,توضیحات وضعیت
bartan.com,.com,ثبت‌شده (غیرقابل ثبت),"3,015,000","3,015,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),Active NS: ns-1178.awsdns-19.org.
bartan.design,.design,ثبت‌شده (غیرقابل ثبت),"16,330,000","16,330,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),Active NS: ns76.domaincontrol.com.
bartan.ir,.ir,ثبت‌شده (غیرقابل ثبت),"99,000","99,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),ثبت شده در ایرنیک (IRNIC)
bartan.net,.net,ثبت‌شده (غیرقابل ثبت),"4,163,000","4,163,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),Active NS: dns3.name-services.com.
bartan.online,.online,ثبت‌شده (غیرقابل ثبت),"1,388,000","10,379,000",نرخ تمدید پس از تخفیف سال اول,Active NS: ns22.domaincontrol.com.
bartan.org,.org,ثبت‌شده (غیرقابل ثبت),"3,699,000","3,699,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),Active NS: dns1.registrar-servers.com.
bartan.shop,.shop,ثبت‌شده (غیرقابل ثبت),"706,000","11,008,000",نرخ تمدید پس از تخفیف سال اول,Active NS: rick.ns.cloudflare.com.
bartan.store,.store,ثبت‌شده (غیرقابل ثبت),"992,000","15,851,000",نرخ تمدید پس از تخفیف سال اول,Active NS: ns52.domaincontrol.com.
bartan.xyz,.xyz,ثبت‌شده (غیرقابل ثبت),"1,367,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,Active NS: ns5.afternic.com.
bartan.ac,.ac,آزاد (قابل خرید),"11,004,000","16,228,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ac.ir,.ac.ir,آزاد (قابل خرید),"99,000","99,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.academy,.academy,آزاد (قابل خرید),"4,956,000","13,073,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.accountant,.accountant,آزاد (قابل خرید),"6,929,000","6,929,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.accountants,.accountants,آزاد (قابل خرید),"9,912,000","33,337,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.actor,.actor,آزاد (قابل خرید),"4,536,000","12,517,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.agency,.agency,آزاد (قابل خرید),"1,328,000","8,649,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ai,.ai,آزاد (قابل خرید),"34,192,000","34,192,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.airforce,.airforce,آزاد (قابل خرید),"32,055,000","32,055,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.apartments,.apartments,آزاد (قابل خرید),"4,536,000","16,124,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.app,.app,آزاد (قابل خرید),"7,294,000","7,294,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.archi,.archi,آزاد (قابل خرید),"5,628,000","29,123,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.army,.army,آزاد (قابل خرید),"4,536,000","12,738,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.art,.art,آزاد (قابل خرید),"1,328,000","7,339,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.asia,.asia,آزاد (قابل خرید),"3,992,000","3,992,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.associates,.associates,آزاد (قابل خرید),"4,956,000","10,997,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.attorney,.attorney,آزاد (قابل خرید),"18,538,000","18,538,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.auction,.auction,آزاد (قابل خرید),"1,160,000","10,463,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.audio,.audio,آزاد (قابل خرید),"36,087,000","36,087,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.auto,.auto,آزاد (قابل خرید),"693,504,000","693,504,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.autos,.autos,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.baby,.baby,آزاد (قابل خرید),"6,717,000","19,919,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.band,.band,آزاد (قابل خرید),"6,704,000","8,754,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bargains,.bargains,آزاد (قابل خرید),"4,956,000","8,439,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bayern,.bayern,آزاد (قابل خرید),"10,517,000","10,517,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.beauty,.beauty,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.beer,.beer,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.berlin,.berlin,آزاد (قابل خرید),"17,294,000","17,294,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.best,.best,آزاد (قابل خرید),"6,660,000","6,660,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.bible,.bible,آزاد (قابل خرید),"14,546,000","14,546,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.bid,.bid,آزاد (قابل خرید),"2,000,000","2,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bike,.bike,آزاد (قابل خرید),"3,344,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bingo,.bingo,آزاد (قابل خرید),"3,344,000","15,054,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bio,.bio,آزاد (قابل خرید),"2,268,000","20,652,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.biz,.biz,آزاد (قابل خرید),"6,532,000","6,532,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.black,.black,آزاد (قابل خرید),"6,704,000","18,765,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.blackfriday,.blackfriday,آزاد (قابل خرید),"36,087,000","36,087,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.blog,.blog,آزاد (قابل خرید),"1,664,000","7,213,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.blue,.blue,آزاد (قابل خرید),"5,292,000","7,077,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.boats,.boats,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.bond,.bond,آزاد (قابل خرید),"924,000","5,819,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.boutique,.boutique,آزاد (قابل خرید),"992,000","9,341,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.build,.build,آزاد (قابل خرید),"9,576,000","9,576,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.builders,.builders,آزاد (قابل خرید),"1,832,000","10,096,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.business,.business,آزاد (قابل خرید),"992,000","5,546,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.buzz,.buzz,آزاد (قابل خرید),"992,000","9,750,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cab,.cab,آزاد (قابل خرید),"5,292,000","9,089,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cafe,.cafe,آزاد (قابل خرید),"1,832,000","14,666,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cam,.cam,آزاد (قابل خرید),"756,000","5,578,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.camera,.camera,آزاد (قابل خرید),"4,956,000","16,669,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.camp,.camp,آزاد (قابل خرید),"2,672,000","17,717,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.capital,.capital,آزاد (قابل خرید),"2,268,000","20,118,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.car,.car,آزاد (قابل خرید),"693,504,000","693,504,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.cards,.cards,آزاد (قابل خرید),"992,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.care,.care,آزاد (قابل خرید),"4,956,000","12,874,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.careers,.careers,آزاد (قابل خرید),"6,704,000","20,327,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cars,.cars,آزاد (قابل خرید),"693,504,000","693,504,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.casa,.casa,آزاد (قابل خرید),"3,831,000","3,831,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.cash,.cash,آزاد (قابل خرید),"4,016,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.catering,.catering,آزاد (قابل خرید),"10,736,000","10,736,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.cc,.cc,آزاد (قابل خرید),"2,776,000","2,776,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.center,.center,آزاد (قابل خرید),"1,328,000","9,215,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ceo,.ceo,آزاد (قابل خرید),"3,357,000","39,837,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.charity,.charity,آزاد (قابل خرید),"5,024,000","8,565,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.chat,.chat,آزاد (قابل خرید),"2,268,000","13,115,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cheap,.cheap,آزاد (قابل خرید),"2,268,000","10,400,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.christmas,.christmas,آزاد (قابل خرید),"10,826,000","10,826,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.church,.church,آزاد (قابل خرید),"2,672,000","16,386,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.city,.city,آزاد (قابل خرید),"1,832,000","8,125,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.claims,.claims,آزاد (قابل خرید),"4,536,000","18,346,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cleaning,.cleaning,آزاد (قابل خرید),"19,583,000","19,583,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.click,.click,آزاد (قابل خرید),"910,000","3,753,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.clinic,.clinic,آزاد (قابل خرید),"4,536,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.clothing,.clothing,آزاد (قابل خرید),"4,536,000","9,341,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cloud,.cloud,آزاد (قابل خرید),"824,000","7,328,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.club,.club,آزاد (قابل خرید),"5,444,000","5,444,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.co,.co,آزاد (قابل خرید),"5,413,000","5,413,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.co.com,.co.com,آزاد (قابل خرید),"6,936,000","6,936,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),RDAP 404
bartan.co.ir,.co.ir,آزاد (قابل خرید),"99,000","99,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.co.no,.co.no,آزاد (قابل خرید),"6,596,000","6,596,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.coach,.coach,آزاد (قابل خرید),"4,536,000","21,065,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.codes,.codes,آزاد (قابل خرید),"1,832,000","20,327,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.coffee,.coffee,آزاد (قابل خرید),"4,536,000","12,308,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.college,.college,آزاد (قابل خرید),"6,717,000","18,294,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cologne,.cologne,آزاد (قابل خرید),"10,376,000","10,376,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.com.co,.com.co,آزاد (قابل خرید),"5,413,000","5,413,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.community,.community,آزاد (قابل خرید),"3,344,000","13,157,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.company,.company,آزاد (قابل خرید),"992,000","5,689,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.compare,.compare,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.computer,.computer,آزاد (قابل خرید),"7,644,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.condos,.condos,آزاد (قابل خرید),"16,118,000","16,118,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.construction,.construction,آزاد (قابل خرید),"3,612,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.consulting,.consulting,آزاد (قابل خرید),"8,904,000","15,442,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.contact,.contact,آزاد (قابل خرید),"4,133,000","4,133,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.contractors,.contractors,آزاد (قابل خرید),"2,268,000","9,928,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cooking,.cooking,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.cool,.cool,آزاد (قابل خرید),"2,268,000","13,115,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.country,.country,آزاد (قابل خرید),"705,197,000","705,197,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.coupons,.coupons,آزاد (قابل خرید),"992,000","15,558,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.courses,.courses,آزاد (قابل خرید),"10,887,000","10,887,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.credit,.credit,آزاد (قابل خرید),"2,672,000","29,144,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.creditcard,.creditcard,آزاد (قابل خرید),"2,268,000","45,864,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cricket,.cricket,آزاد (قابل خرید),"6,929,000","6,929,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.cruises,.cruises,آزاد (قابل خرید),"3,344,000","16,029,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.cymru,.cymru,آزاد (قابل خرید),"3,532,000","3,532,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.cyou,.cyou,آزاد (قابل خرید),"924,000","5,819,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.dance,.dance,آزاد (قابل خرید),"4,016,000","7,842,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.date,.date,آزاد (قابل خرید),"2,000,000","2,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.dating,.dating,آزاد (قابل خرید),"5,292,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.deals,.deals,آزاد (قابل خرید),"1,328,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.degree,.degree,آزاد (قابل خرید),"3,344,000","14,625,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.delivery,.delivery,آزاد (قابل خرید),"2,000,000","17,717,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.democrat,.democrat,آزاد (قابل خرید),"2,268,000","9,173,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.dental,.dental,آزاد (قابل خرید),"21,672,000","21,672,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.dentist,.dentist,آزاد (قابل خرید),"18,386,000","18,386,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.dev,.dev,آزاد (قابل خرید),"4,597,000","4,597,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.diamonds,.diamonds,آزاد (قابل خرید),"14,959,000","14,959,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.diet,.diet,آزاد (قابل خرید),"36,087,000","36,087,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.digital,.digital,آزاد (قابل خرید),"992,000","11,731,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.direct,.direct,آزاد (قابل خرید),"4,536,000","12,004,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.directory,.directory,آزاد (قابل خرید),"1,832,000","7,810,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.discount,.discount,آزاد (قابل خرید),"1,832,000","8,345,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.doctor,.doctor,آزاد (قابل خرید),"3,344,000","33,106,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.dog,.dog,آزاد (قابل خرید),"1,328,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.domains,.domains,آزاد (قابل خرید),"4,536,000","12,151,000",نرخ تمدید پس از تخفیف سال اول,RDAP 404
bartan.download,.download,آزاد (قابل خرید),"2,000,000","2,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.eco,.eco,آزاد (قابل خرید),"20,150,000","20,150,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.education,.education,آزاد (قابل خرید),"8,904,000","10,222,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.email,.email,آزاد (قابل خرید),"2,268,000","8,743,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.energy,.energy,آزاد (قابل خرید),"4,956,000","33,337,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.engineer,.engineer,آزاد (قابل خرید),"4,016,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.engineering,.engineering,آزاد (قابل خرید),"2,672,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.enterprises,.enterprises,آزاد (قابل خرید),"1,328,000","10,096,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.equipment,.equipment,آزاد (قابل خرید),"4,536,000","8,219,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.estate,.estate,آزاد (قابل خرید),"3,344,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.events,.events,آزاد (قابل خرید),"4,016,000","12,874,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.exchange,.exchange,آزاد (قابل خرید),"2,504,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.expert,.expert,آزاد (قابل خرید),"2,672,000","17,560,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.exposed,.exposed,آزاد (قابل خرید),"5,948,000","5,948,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.express,.express,آزاد (قابل خرید),"3,848,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.fail,.fail,آزاد (قابل خرید),"3,344,000","10,997,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.faith,.faith,آزاد (قابل خرید),"4,352,000","4,526,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.family,.family,آزاد (قابل خرید),"2,268,000","10,746,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.fan,.fan,آزاد (قابل خرید),"2,672,000","16,973,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.fans,.fans,آزاد (قابل خرید),"3,065,000","3,065,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.farm,.farm,آزاد (قابل خرید),"3,176,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.fashion,.fashion,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.feedback,.feedback,آزاد (قابل خرید),"105,840,000","105,840,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.finance,.finance,آزاد (قابل خرید),"2,672,000","18,346,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.financial,.financial,آزاد (قابل خرید),"6,704,000","16,763,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.fish,.fish,آزاد (قابل خرید),"3,344,000","12,517,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.fishing,.fishing,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.fit,.fit,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.fitness,.fitness,آزاد (قابل خرید),"2,268,000","12,004,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.flights,.flights,آزاد (قابل خرید),"13,272,000","16,763,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.florist,.florist,آزاد (قابل خرید),"3,344,000","9,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.flowers,.flowers,آزاد (قابل خرید),"36,087,000","36,087,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.fm,.fm,آزاد (قابل خرید),"29,474,000","29,474,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.football,.football,آزاد (قابل خرید),"4,536,000","7,391,000",نرخ تمدید پس از تخفیف سال اول,RDAP 404
bartan.forsale,.forsale,آزاد (قابل خرید),"4,536,000","10,463,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.forum,.forum,آزاد (قابل خرید),"669,000","12,580,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.foundation,.foundation,آزاد (قابل خرید),"5,024,000","7,800,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.fun,.fun,آزاد (قابل خرید),"656,000","11,322,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.fund,.fund,آزاد (قابل خرید),"3,612,000","19,814,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.furniture,.furniture,آزاد (قابل خرید),"8,904,000","29,353,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.futbol,.futbol,آزاد (قابل خرید),"2,268,000","4,641,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.fyi,.fyi,آزاد (قابل خرید),"5,323,000","5,323,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.gallery,.gallery,آزاد (قابل خرید),"7,984,000","7,984,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.game,.game,آزاد (قابل خرید),"119,751,000","119,751,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.games,.games,آزاد (قابل خرید),"3,344,000","9,530,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.garden,.garden,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.gd,.gd,آزاد (قابل خرید),"9,576,000","9,576,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.gift,.gift,آزاد (قابل خرید),"5,504,000","5,504,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.gifts,.gifts,آزاد (قابل خرید),"3,344,000","10,463,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.gives,.gives,آزاد (قابل خرید),"5,024,000","7,800,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.glass,.glass,آزاد (قابل خرید),"19,344,000","19,344,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.global,.global,آزاد (قابل خرید),"13,272,000","27,236,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.gmbh,.gmbh,آزاد (قابل خرید),"12,651,000","12,651,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.gold,.gold,آزاد (قابل خرید),"2,268,000","29,144,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.golf,.golf,آزاد (قابل خرید),"1,832,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.gov.ir,.gov.ir,آزاد (قابل خرید),"99,000","99,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.graphics,.graphics,آزاد (قابل خرید),"6,421,000","6,421,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.gratis,.gratis,آزاد (قابل خرید),"6,341,000","6,341,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.green,.green,آزاد (قابل خرید),"2,672,000","23,043,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.gripe,.gripe,آزاد (قابل خرید),"2,400,000","2,400,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.group,.group,آزاد (قابل خرید),"2,504,000","7,391,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.guide,.guide,آزاد (قابل خرید),"2,504,000","11,584,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.guitars,.guitars,آزاد (قابل خرید),"36,087,000","36,087,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.guru,.guru,آزاد (قابل خرید),"992,000","12,151,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.hair,.hair,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.hamburg,.hamburg,آزاد (قابل خرید),"15,997,000","15,997,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.haus,.haus,آزاد (قابل خرید),"4,536,000","9,383,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
