نام دامنه,پسوند (TLD),وضعیت,قیمت ثبت ۱ ساله در ایران‌سرور (تومان),قیمت تمدید سال‌های بعد در ایران‌سرور (تومان),نوع تعرفه تمدید,توضیحات وضعیت
bartan.page,.page,آزاد (قابل خرید),"3,831,000","3,831,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.partners,.partners,آزاد (قابل خرید),"3,176,000","20,118,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.parts,.parts,آزاد (قابل خرید),"3,612,000","12,004,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.party,.party,آزاد (قابل خرید),"2,000,000","2,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.pet,.pet,آزاد (قابل خرید),"4,536,000","7,339,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ph,.ph,آزاد (قابل خرید),"15,322,000","15,322,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),RDAP 404
bartan.photo,.photo,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.photography,.photography,آزاد (قابل خرید),"2,268,000","10,400,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.photos,.photos,آزاد (قابل خرید),"3,344,000","8,586,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.pics,.pics,آزاد (قابل خرید),"669,000","9,414,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.pictures,.pictures,آزاد (قابل خرید),"3,344,000","4,550,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.pink,.pink,آزاد (قابل خرید),"3,344,000","7,213,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.pizza,.pizza,آزاد (قابل خرید),"4,536,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.place,.place,آزاد (قابل خرید),"5,998,000","5,998,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.plumbing,.plumbing,آزاد (قابل خرید),"3,344,000","20,118,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.plus,.plus,آزاد (قابل خرید),"4,016,000","15,442,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.poker,.poker,آزاد (قابل خرید),"3,344,000","20,715,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.press,.press,آزاد (قابل خرید),"22,499,000","22,499,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.pro,.pro,آزاد (قابل خرید),"1,160,000","8,038,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.productions,.productions,آزاد (قابل خرید),"3,344,000","11,689,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.promo,.promo,آزاد (قابل خرید),"4,536,000","7,024,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.properties,.properties,آزاد (قابل خرید),"2,504,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.property,.property,آزاد (قابل خرید),"20,157,000","37,530,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.protection,.protection,آزاد (قابل خرید),"693,504,000","693,504,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.pub,.pub,آزاد (قابل خرید),"11,240,000","11,240,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.qpon,.qpon,آزاد (قابل خرید),"992,000","3,726,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.quest,.quest,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.racing,.racing,آزاد (قابل خرید),"4,352,000","4,526,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.realty,.realty,آزاد (قابل خرید),"33,597,000","102,736,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.recipes,.recipes,آزاد (قابل خرید),"2,672,000","21,065,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.red,.red,آزاد (قابل خرید),"3,344,000","6,657,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.rehab,.rehab,آزاد (قابل خرید),"3,344,000","10,264,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.reise,.reise,آزاد (قابل خرید),"25,785,000","25,785,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.reisen,.reisen,آزاد (قابل خرید),"5,565,000","5,565,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.rent,.rent,آزاد (قابل خرید),"6,717,000","18,294,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.rentals,.rentals,آزاد (قابل خرید),"2,672,000","12,109,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.repair,.repair,آزاد (قابل خرید),"3,176,000","10,264,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.report,.report,آزاد (قابل خرید),"2,672,000","7,024,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.republican,.republican,آزاد (قابل خرید),"2,268,000","9,173,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.rest,.rest,آزاد (قابل خرید),"669,000","9,016,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.restaurant,.restaurant,آزاد (قابل خرید),"5,292,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.review,.review,آزاد (قابل خرید),"4,352,000","4,526,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.reviews,.reviews,آزاد (قابل خرید),"1,832,000","17,717,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.rip,.rip,آزاد (قابل خرید),"1,832,000","6,657,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.rocks,.rocks,آزاد (قابل خرید),"1,328,000","6,186,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.rodeo,.rodeo,آزاد (قابل خرید),"3,629,000","3,629,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.ruhr,.ruhr,آزاد (قابل خرید),"8,041,000","8,041,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.run,.run,آزاد (قابل خرید),"1,647,000","7,810,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.saarland,.saarland,آزاد (قابل خرید),"7,994,000","7,994,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.sale,.sale,آزاد (قابل خرید),"1,328,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.salon,.salon,آزاد (قابل خرید),"4,536,000","16,249,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.sarl,.sarl,آزاد (قابل خرید),"2,400,000","2,400,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.sc,.sc,آزاد (قابل خرید),"30,039,000","30,039,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.sch.ir,.sch.ir,آزاد (قابل خرید),"99,000","99,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.school,.school,آزاد (قابل خرید),"2,268,000","10,264,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.schule,.schule,آزاد (قابل خرید),"4,536,000","7,786,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.science,.science,آزاد (قابل خرید),"4,352,000","4,526,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.security,.security,آزاد (قابل خرید),"693,504,000","693,504,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.select,.select,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.services,.services,آزاد (قابل خرید),"3,612,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.shiksha,.shiksha,آزاد (قابل خرید),"4,536,000","14,457,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.shoes,.shoes,آزاد (قابل خرید),"8,904,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.shopping,.shopping,آزاد (قابل خرید),"3,344,000","8,488,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.show,.show,آزاد (قابل خرید),"3,344,000","12,517,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.singles,.singles,آزاد (قابل خرید),"2,940,000","9,530,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.site,.site,آزاد (قابل خرید),"918,000","10,379,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ski,.ski,آزاد (قابل خرید),"8,904,000","18,856,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.skin,.skin,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.soccer,.soccer,آزاد (قابل خرید),"4,536,000","7,391,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.social,.social,آزاد (قابل خرید),"2,672,000","12,004,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.software,.software,آزاد (قابل خرید),"6,704,000","12,004,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.solar,.solar,آزاد (قابل خرید),"2,268,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.solutions,.solutions,آزاد (قابل خرید),"1,328,000","8,754,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.soy,.soy,آزاد (قابل خرید),"7,258,000","7,258,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.space,.space,آزاد (قابل خرید),"656,000","9,435,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.srl,.srl,آزاد (قابل خرید),"9,015,000","9,015,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.storage,.storage,آزاد (قابل خرید),"191,520,000","191,520,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.stream,.stream,آزاد (قابل خرید),"2,000,000","2,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.studio,.studio,آزاد (قابل خرید),"4,956,000","11,448,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.study,.study,آزاد (قابل خرید),"10,887,000","10,887,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.style,.style,آزاد (قابل خرید),"2,940,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.supplies,.supplies,آزاد (قابل خرید),"6,754,000","6,754,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.supply,.supply,آزاد (قابل خرید),"7,107,000","7,107,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.support,.support,آزاد (قابل خرید),"2,672,000","7,842,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.surf,.surf,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.surgery,.surgery,آزاد (قابل خرید),"14,848,000","14,848,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.systems,.systems,آزاد (قابل خرید),"4,956,000","10,001,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.tattoo,.tattoo,آزاد (قابل خرید),"10,826,000","10,826,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.tax,.tax,آزاد (قابل خرید),"3,344,000","19,069,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.taxi,.taxi,آزاد (قابل خرید),"2,504,000","17,717,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.team,.team,آزاد (قابل خرید),"1,832,000","10,463,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.tech,.tech,آزاد (قابل خرید),"1,328,000","18,493,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.technology,.technology,آزاد (قابل خرید),"4,016,000","8,073,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.tel,.tel,آزاد (قابل خرید),"3,122,000","3,122,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
